METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62997;"{""coordinates"": [-123.1281348651467, 49.28666720519754], ""type"": ""Point""}";West End;121224;49.28666720519754, -123.1281348651467
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;Yes;50799;"{""coordinates"": [-123.10983798468766, 49.26561403841655], ""type"": ""Point""}";Mount Pleasant;B60206;49.26561403841655, -123.10983798468766
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;Yes;50036;"{""coordinates"": [-123.10293795347506, 49.26610001596944], ""type"": ""Point""}";Mount Pleasant;742107;49.26610001596944, -123.10293795347506
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;Yes;53291;"{""coordinates"": [-123.1047210405429, 49.26508204567186], ""type"": ""Point""}";Mount Pleasant;752214;49.26508204567186, -123.1047210405429
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50136;"{""coordinates"": [-123.12869575336458, 49.263346715766716], ""type"": ""Point""}";Fairview;301036;49.263346715766716, -123.12869575336458
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51132;"{""coordinates"": [-123.12975525332912, 49.26354638476093], ""type"": ""Point""}";Fairview;301111;49.26354638476093, -123.12975525332912
Twin / Disability;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;$2.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;No;50463;"{""coordinates"": [-123.12051972484957, 49.26239292025677], ""type"": ""Point""}";Fairview;D00707;49.26239292025677, -123.12051972484957
Pay Station;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;60243;"{""coordinates"": [-123.12331616386602, 49.28027253342631], ""type"": ""Point""}";Downtown;620928;49.28027253342631, -123.12331616386602
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65075;"{""coordinates"": [-123.1291185056761, 49.27687756587167], ""type"": ""Point""}";Downtown;170806;49.27687756587167, -123.1291185056761
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65076;"{""coordinates"": [-123.12945662603879, 49.27709605841853], ""type"": ""Point""}";Downtown;170816;49.27709605841853, -123.12945662603879
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65423;"{""coordinates"": [-123.12893658862066, 49.27691471223921], ""type"": ""Point""}";Downtown;170803;49.27691471223921, -123.12893658862066
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61006;"{""coordinates"": [-123.12502632739131, 49.27438342779826], ""type"": ""Point""}";Downtown;170401;49.27438342779826, -123.12502632739131
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52970;"{""coordinates"": [-123.13954406730635, 49.26614957745133], ""type"": ""Point""}";Fairview;B61514;49.26614957745133, -123.13954406730635
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51091;"{""coordinates"": [-123.1433136139106, 49.26819964745884], ""type"": ""Point""}";Fairview;901917;49.26819964745884, -123.1433136139106
Pay Station;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67609;"{""coordinates"": [-123.1284309734801, 49.28230215700773], ""type"": ""Point""}";West End;651005;49.28230215700773, -123.1284309734801
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52959;"{""coordinates"": [-123.11308430328198, 49.26157025108465], ""type"": ""Point""}";Mount Pleasant;792615;49.26157025108465, -123.11308430328198
