METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51240,"""{""""coordinates"""": [-123.11882846448003, 49.26413937340329], """"type"""": """"Point""""}""",Fairview,B80620,"49.26413937340329, -123.11882846448003",-123.11882846448003,49.26413937340329
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51098,"""{""""coordinates"""": [-123.11953662393282, 49.26415132616474], """"type"""": """"Point""""}""",Fairview,B80638,"49.26415132616474, -123.11953662393282",-123.11953662393282,49.26415132616474
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51402,"""{""""coordinates"""": [-123.11917346083261, 49.26425460646836], """"type"""": """"Point""""}""",Fairview,B80633,"49.26425460646836, -123.11917346083261",-123.11917346083261,49.26425460646836
Single Motorbike,$ .50,$1.50,$ .50,$1.50,$ .50,$1.50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,56408,"""{""""coordinates"""": [-123.10116175777678, 49.24942438434038], """"type"""": """"Point""""}""",Riley Park,514097,"49.24942438434038, -123.10116175777678",-123.10116175777678,49.24942438434038
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51882,"""{""""coordinates"""": [-123.12013907442017, 49.26415834723475], """"type"""": """"Point""""}""",Fairview,B80702,"49.26415834723475, -123.12013907442017",-123.12013907442017,49.26415834723475
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54459,"""{""""coordinates"""": [-123.12584402238284, 49.263282725765855], """"type"""": """"Point""""}""",Fairview,300934,"49.263282725765855, -123.12584402238284",-123.12584402238284,49.263282725765855
Single Motorbike,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,57002,"""{""""coordinates"""": [-123.16618899717294, 49.26825400532486], """"type"""": """"Point""""}""",Kitsilano,B42698,"49.26825400532486, -123.16618899717294",-123.16618899717294,49.26825400532486
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,No Time Limit,Yes,57021,"""{""""coordinates"""": [-123.1662907656186, 49.26859159274875], """"type"""": """"Point""""}""",Kitsilano,3M1916,"49.26859159274875, -123.1662907656186",-123.1662907656186,49.26859159274875
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54376,"""{""""coordinates"""": [-123.12584402238284, 49.263282725765855], """"type"""": """"Point""""}""",Fairview,300936,"49.263282725765855, -123.12584402238284",-123.12584402238284,49.263282725765855
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,56822,"""{""""coordinates"""": [-123.1134401793664, 49.26774051367221], """"type"""": """"Point""""}""",Mount Pleasant,WY1917,"49.26774051367221, -123.1134401793664",-123.1134401793664,49.26774051367221
