METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54687,"""{""""coordinates"""": [-123.10027288481304, 49.263513908708426], """"type"""": """"Point""""}""",Mount Pleasant,990002,"49.263513908708426, -123.10027288481304",-123.10027288481304,49.263513908708426
Pay Station,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,53695,"""{""""coordinates"""": [-123.06946001432016, 49.27276398581615], """"type"""": """"Point""""}""",Grandview-Woodland,6C1306,"49.27276398581615, -123.06946001432016",-123.06946001432016,49.27276398581615
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,51678,"""{""""coordinates"""": [-123.06991893936068, 49.26063602077593], """"type"""": """"Point""""}""",Kensington-Cedar Cottage,6C2619,"49.26063602077593, -123.06991893936068",-123.06991893936068,49.26063602077593
Pay Station,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52165,"""{""""coordinates"""": [-123.06956705333364, 49.26627496734119], """"type"""": """"Point""""}""",Grandview-Woodland,6C2016,"49.26627496734119, -123.06956705333364",-123.06956705333364,49.26627496734119
Pay Station,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52341,"""{""""coordinates"""": [-123.06993404596922, 49.259946978556236], """"type"""": """"Point""""}""",Kensington-Cedar Cottage,6C2711,"49.259946978556236, -123.06993404596922",-123.06993404596922,49.259946978556236
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,51594,"""{""""coordinates"""": [-123.06951306274327, 49.26903499654443], """"type"""": """"Point""""}""",Grandview-Woodland,6C1714,"49.26903499654443, -123.06951306274327",-123.06951306274327,49.26903499654443
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52171,"""{""""coordinates"""": [-123.06954595645495, 49.26749904679613], """"type"""": """"Point""""}""",Grandview-Woodland,6C1906,"49.26749904679613, -123.06954595645495",-123.06954595645495,49.26749904679613
Pay Station,$1.00,$4.00,$1.00,$4.00,$1.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,54247,"""{""""coordinates"""": [-123.06960505274944, 49.263973971705255], """"type"""": """"Point""""}""",Grandview-Woodland,6C2306,"49.263973971705255, -123.06960505274944",-123.06960505274944,49.263973971705255
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,67816,"""{""""coordinates"""": [-123.0977577847809, 49.28271965395001], """"type"""": """"Point""""}""",Strathcona,500209,"49.28271965395001, -123.0977577847809",-123.0977577847809,49.28271965395001
Twin Bay Single,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,62163,"""{""""coordinates"""": [-123.10751945197936, 49.281454168085254], """"type"""": """"Point""""}""",Downtown,540409,"49.281454168085254, -123.10751945197936",-123.10751945197936,49.281454168085254
Pay Station,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52274,"""{""""coordinates"""": [-123.06943599584424, 49.27416302203705], """"type"""": """"Point""""}""",Grandview-Woodland,6C1122,"49.27416302203705, -123.06943599584424",-123.06943599584424,49.27416302203705
Pay Station,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50305,"""{""""coordinates"""": [-123.06963193502062, 49.274188990170565], """"type"""": """"Point""""}""",Grandview-Woodland,6C1113,"49.274188990170565, -123.06963193502062",-123.06963193502062,49.274188990170565
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,51541,"""{""""coordinates"""": [-123.06949596814304, 49.27105496772825], """"type"""": """"Point""""}""",Grandview-Woodland,6C1504,"49.27105496772825, -123.06949596814304",-123.06949596814304,49.27105496772825
Pay Station,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50312,"""{""""coordinates"""": [-123.06965498287964, 49.27278797555766], """"type"""": """"Point""""}""",Grandview-Woodland,6C1305,"49.27278797555766, -123.06965498287964",-123.06965498287964,49.27278797555766
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50278,"""{""""coordinates"""": [-123.06969297674733, 49.27087296626147], """"type"""": """"Point""""}""",Grandview-Woodland,6C1509,"49.27087296626147, -123.06969297674733",-123.06969297674733,49.27087296626147
Pay Station,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52230,"""{""""coordinates"""": [-123.06976404294969, 49.268432976669594], """"type"""": """"Point""""}""",Grandview-Woodland,6C1801,"49.268432976669594, -123.06976404294969",-123.06976404294969,49.268432976669594
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,,Yes,59939,"""{""""coordinates"""": [-123.1011438193486, 49.24985824886951], """"type"""": """"Point""""}""",Riley Park,513913,"49.24985824886951, -123.1011438193486",-123.1011438193486,49.24985824886951
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,64230,"""{""""coordinates"""": [-123.10693219467609, 49.28106039139301], """"type"""": """"Point""""}""",Downtown,080031,"49.28106039139301, -123.10693219467609",-123.10693219467609,49.28106039139301
Pay Station,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50368,"""{""""coordinates"""": [-123.06967700267711, 49.2716339691995], """"type"""": """"Point""""}""",Grandview-Woodland,6C1411,"49.2716339691995, -123.06967700267711",-123.06967700267711,49.2716339691995
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,30 min,30 min,30 min,30 min,30 min,30 min,,Yes,51629,"""{""""coordinates"""": [-123.17276052701409, 49.26406651615858], """"type"""": """"Point""""}""",Kitsilano,303014,"49.26406651615858, -123.17276052701409",-123.17276052701409,49.26406651615858
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52618,"""{""""coordinates"""": [-123.10119005401266, 49.26150702490763], """"type"""": """"Point""""}""",Mount Pleasant,512617,"49.26150702490763, -123.10119005401266",-123.10119005401266,49.26150702490763
Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51592,"""{""""coordinates"""": [-123.17544263917559, 49.26427638970795], """"type"""": """"Point""""}""",Kitsilano,303121,"49.26427638970795, -123.17544263917559",-123.17544263917559,49.26427638970795
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56051,"""{""""coordinates"""": [-123.1511529997108, 49.26390313720115], """"type"""": """"Point""""}""",Kitsilano,302011,"49.26390313720115, -123.1511529997108",-123.1511529997108,49.26390313720115
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54802,"""{""""coordinates"""": [-123.17259156741945, 49.26406391718795], """"type"""": """"Point""""}""",Kitsilano,303010,"49.26406391718795, -123.17259156741945",-123.17259156741945,49.26406391718795
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52053,"""{""""coordinates"""": [-123.17254139514831, 49.26422836157452], """"type"""": """"Point""""}""",Kitsilano,303005,"49.26422836157452, -123.17254139514831",-123.17254139514831,49.26422836157452
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54245,"""{""""coordinates"""": [-123.17254139514831, 49.26422836157452], """"type"""": """"Point""""}""",Kitsilano,303007,"49.26422836157452, -123.17254139514831",-123.17254139514831,49.26422836157452
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52209,"""{""""coordinates"""": [-123.17305727817595, 49.264236063522645], """"type"""": """"Point""""}""",Kitsilano,303017,"49.264236063522645, -123.17305727817595",-123.17305727817595,49.264236063522645
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52424,"""{""""coordinates"""": [-123.11950190724636, 49.263384017005315], """"type"""": """"Point""""}""",Fairview,300639,"49.263384017005315, -123.11950190724636",-123.11950190724636,49.263384017005315
Twin,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,62384,"""{""""coordinates"""": [-123.1269637678162, 49.275637781182226], """"type"""": """"Point""""}""",Downtown,170603,"49.275637781182226, -123.1269637678162",-123.1269637678162,49.275637781182226
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54709,"""{""""coordinates"""": [-123.10027288481304, 49.263513908708426], """"type"""": """"Point""""}""",Mount Pleasant,990004,"49.263513908708426, -123.10027288481304",-123.10027288481304,49.263513908708426
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52562,"""{""""coordinates"""": [-123.1000208880975, 49.263219857958646], """"type"""": """"Point""""}""",Mount Pleasant,990014,"49.263219857958646, -123.1000208880975",-123.1000208880975,49.263219857958646
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53853,"""{""""coordinates"""": [-123.10578359462397, 49.26311832396864], """"type"""": """"Point""""}""",Mount Pleasant,300015,"49.26311832396864, -123.10578359462397",-123.10578359462397,49.26311832396864
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53319,"""{""""coordinates"""": [-123.11003911032996, 49.26321851393711], """"type"""": """"Point""""}""",Mount Pleasant,300209,"49.26321851393711, -123.11003911032996",-123.11003911032996,49.26321851393711
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53099,"""{""""coordinates"""": [-123.11036720663255, 49.2632251273062], """"type"""": """"Point""""}""",Mount Pleasant,300215,"49.2632251273062, -123.11036720663255",-123.11036720663255,49.2632251273062
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54267,"""{""""coordinates"""": [-123.11036720663255, 49.2632251273062], """"type"""": """"Point""""}""",Mount Pleasant,300217,"49.2632251273062, -123.11036720663255",-123.11036720663255,49.2632251273062
Twin,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,67584,"""{""""coordinates"""": [-123.12864808356339, 49.27656187379355], """"type"""": """"Point""""}""",Downtown,170716,"49.27656187379355, -123.12864808356339",-123.12864808356339,49.27656187379355
Twin,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,67199,"""{""""coordinates"""": [-123.12864808356339, 49.27656187379355], """"type"""": """"Point""""}""",Downtown,170714,"49.27656187379355, -123.12864808356339",-123.12864808356339,49.27656187379355
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51120,"""{""""coordinates"""": [-123.14220170411868, 49.267877832687915], """"type"""": """"Point""""}""",Fairview,B41626,"49.267877832687915, -123.14220170411868",-123.14220170411868,49.267877832687915
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51454,"""{""""coordinates"""": [-123.14255732333774, 49.26788307044392], """"type"""": """"Point""""}""",Fairview,B41636,"49.26788307044392, -123.14255732333774",-123.14255732333774,49.26788307044392
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52150,"""{""""coordinates"""": [-123.14407821951234, 49.26807816086433], """"type"""": """"Point""""}""",Fairview,B41713,"49.26807816086433, -123.14407821951234",-123.14407821951234,49.26807816086433
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,56620,"""{""""coordinates"""": [-123.14584416549562, 49.26494450808987], """"type"""": """"Point""""}""",Kitsilano,642313,"49.26494450808987, -123.14584416549562",-123.14584416549562,49.26494450808987
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65575,"""{""""coordinates"""": [-123.1261118626683, 49.28984595749279], """"type"""": """"Point""""}""",Downtown,061325,"49.28984595749279, -123.1261118626683",-123.1261118626683,49.28984595749279
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65855,"""{""""coordinates"""": [-123.1261118626683, 49.28984595749279], """"type"""": """"Point""""}""",Downtown,061327,"49.28984595749279, -123.1261118626683",-123.1261118626683,49.28984595749279
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65596,"""{""""coordinates"""": [-123.12640057536139, 49.28979948785218], """"type"""": """"Point""""}""",Downtown,061328,"49.28979948785218, -123.12640057536139",-123.12640057536139,49.28979948785218
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65797,"""{""""coordinates"""": [-123.12547201492515, 49.2895268038969], """"type"""": """"Point""""}""",Downtown,061306,"49.2895268038969, -123.12547201492515",-123.12547201492515,49.2895268038969
Twin,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52939,"""{""""coordinates"""": [-123.14024027115262, 49.26542309139801], """"type"""": """"Point""""}""",Fairview,B71523,"49.26542309139801, -123.14024027115262",-123.14024027115262,49.26542309139801
Twin,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50101,"""{""""coordinates"""": [-123.14691569820604, 49.268125086853104], """"type"""": """"Point""""}""",Kitsilano,B41821,"49.268125086853104, -123.14691569820604",-123.14691569820604,49.268125086853104
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,60921,"""{""""coordinates"""": [-123.12502632739131, 49.27438342779826], """"type"""": """"Point""""}""",Downtown,170403,"49.27438342779826, -123.12502632739131",-123.12502632739131,49.27438342779826
Twin,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65351,"""{""""coordinates"""": [-123.12893658862066, 49.27691471223921], """"type"""": """"Point""""}""",Downtown,170805,"49.27691471223921, -123.12893658862066",-123.12893658862066,49.27691471223921
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53726,"""{""""coordinates"""": [-123.10086353202024, 49.26130231859344], """"type"""": """"Point""""}""",Mount Pleasant,512624,"49.26130231859344, -123.10086353202024",-123.10086353202024,49.26130231859344
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54073,"""{""""coordinates"""": [-123.14650412419034, 49.26637195876837], """"type"""": """"Point""""}""",Kitsilano,B61815,"49.26637195876837, -123.14650412419034",-123.14650412419034,49.26637195876837
Single,$7.00,$1.00,$7.00,$1.00,$7.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50154,"""{""""coordinates"""": [-123.12068730015858, 49.26340379769335], """"type"""": """"Point""""}""",Fairview,300713,"49.26340379769335, -123.12068730015858",-123.12068730015858,49.26340379769335
Twin,$7.00,$1.00,$7.00,$1.00,$7.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51755,"""{""""coordinates"""": [-123.12142087226678, 49.26341382336399], """"type"""": """"Point""""}""",Fairview,300733,"49.26341382336399, -123.12142087226678",-123.12142087226678,49.26341382336399
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51244,"""{""""coordinates"""": [-123.12447919185828, 49.2634746147925], """"type"""": """"Point""""}""",Fairview,300901,"49.2634746147925, -123.12447919185828",-123.12447919185828,49.2634746147925
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52059,"""{""""coordinates"""": [-123.09895631118813, 49.26832894312507], """"type"""": """"Point""""}""",Strathcona,A20237,"49.26832894312507, -123.09895631118813",-123.09895631118813,49.26832894312507
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54495,"""{""""coordinates"""": [-123.10780555780178, 49.262984945132956], """"type"""": """"Point""""}""",Mount Pleasant,300120,"49.262984945132956, -123.10780555780178",-123.10780555780178,49.262984945132956
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52977,"""{""""coordinates"""": [-123.1084906990262, 49.2630010978782], """"type"""": """"Point""""}""",Mount Pleasant,300134,"49.2630010978782, -123.1084906990262",-123.1084906990262,49.2630010978782
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52821,"""{""""coordinates"""": [-123.10866215524362, 49.263004696752645], """"type"""": """"Point""""}""",Mount Pleasant,300138,"49.263004696752645, -123.10866215524362",-123.10866215524362,49.263004696752645
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54437,"""{""""coordinates"""": [-123.10882727661016, 49.26300889502326], """"type"""": """"Point""""}""",Mount Pleasant,300144,"49.26300889502326, -123.10882727661016",-123.10882727661016,49.26300889502326
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54162,"""{""""coordinates"""": [-123.09895631118813, 49.26832894312507], """"type"""": """"Point""""}""",Strathcona,A20239,"49.26832894312507, -123.09895631118813",-123.09895631118813,49.26832894312507
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51036,"""{""""coordinates"""": [-123.1463003546557, 49.26895410969917], """"type"""": """"Point""""}""",Kitsilano,B31809,"49.26895410969917, -123.1463003546557",-123.1463003546557,49.26895410969917
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52206,"""{""""coordinates"""": [-123.14425774879543, 49.26808099522693], """"type"""": """"Point""""}""",Fairview,B41717,"49.26808099522693, -123.14425774879543",-123.14425774879543,49.26808099522693
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,53282,"""{""""coordinates"""": [-123.14439306711783, 49.267912795845135], """"type"""": """"Point""""}""",Fairview,B41724,"49.267912795845135, -123.14439306711783",-123.14439306711783,49.267912795845135
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52561,"""{""""coordinates"""": [-123.10123273626418, 49.26058319746439], """"type"""": """"Point""""}""",Mount Pleasant,512715,"49.26058319746439, -123.10123273626418",-123.10123273626418,49.26058319746439
Twin,$5.00,$4.00,$5.00,$4.00,$5.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52378,"""{""""coordinates"""": [-123.11521155104082, 49.264184630445385], """"type"""": """"Point""""}""",Fairview,B80501,"49.264184630445385, -123.11521155104082",-123.11521155104082,49.264184630445385
Twin,$5.00,$4.00,$5.00,$4.00,$5.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51518,"""{""""coordinates"""": [-123.11521155104082, 49.264184630445385], """"type"""": """"Point""""}""",Fairview,B80503,"49.264184630445385, -123.11521155104082",-123.11521155104082,49.264184630445385
Twin,$7.00,$1.00,$7.00,$1.00,$7.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53151,"""{""""coordinates"""": [-123.13362924309087, 49.26388366115731], """"type"""": """"Point""""}""",Fairview,872412,"49.26388366115731, -123.13362924309087",-123.13362924309087,49.26388366115731
Twin,$7.00,$1.00,$7.00,$1.00,$7.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50155,"""{""""coordinates"""": [-123.13379654228982, 49.26394418519169], """"type"""": """"Point""""}""",Fairview,872409,"49.26394418519169, -123.13379654228982",-123.13379654228982,49.26394418519169
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53122,"""{""""coordinates"""": [-123.13364351825619, 49.26326576385313], """"type"""": """"Point""""}""",Fairview,872504,"49.26326576385313, -123.13364351825619",-123.13364351825619,49.26326576385313
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56058,"""{""""coordinates"""": [-123.1466661424734, 49.26361772701993], """"type"""": """"Point""""}""",Kitsilano,301814,"49.26361772701993, -123.1466661424734",-123.1466661424734,49.26361772701993
