Block,Street,lat,lon
2500,TRUTCH ST,49.265902007961024,-123.17585447272221
2800,W BROADWAY,49.263649475047416,-123.1389344042681
2500,BALACLAVA ST,49.25874044131221,-123.17418700135971
2400,YEW ST,49.25062300600435,-123.1558043313721
2500,GRANVILLE ST,49.25901295951559,-123.13874691672915
1600,W 8TH AVE,49.26445433343878,-123.1349402207505
1700,W 8TH AVE,49.26445433343878,-123.1349402207505
1000,W 8TH AVE,49.26445433343878,-123.1349402207505
3700,CAMBIE ST,49.2492150960783,-123.11539090524424
600,W 7TH AVE,49.264726471922174,-123.10786395058216
2400,HEATHER ST,49.248436249067716,-123.1204107274682
800,W 8TH AVE,49.26445433343878,-123.1349402207505
2400,WILLOW ST,49.23517238349831,-123.12383362819509
100,W 8TH AVE,49.26445433343878,-123.1349402207505
100,W BROADWAY,49.263649475047416,-123.1389344042681
400,KINGSWAY,49.241372639934724,-123.05686279086896
700,KINGSWAY,49.256179450000005,-123.08955678842702
5600,LINCOLN ST,49.23071376390526,-123.02646954025455
3800,LANARK ST,49.22625612322476,-123.07588162310206
2600,OXFORD ST,49.28569113094467,-123.05030859511488
700,HAMILTON ST,49.27915495,-123.11434125336939
500,KOOTENAY ST,49.27166643823992,-123.02728908737615
1100,LAKEWOOD DRIVE,49.27899418387797,-123.06176183561813
300,BUTE ST,49.28018938489427,-123.13578430526341
1700,W 5TH AVE,49.26653047663682,-123.10709823256131
2200,W 4TH AVE,49.2679744,-123.1553862
1800,MAPLE ST,49.2628550469776,-123.15056822932132
1900,W 3RD AVE,49.26885462785312,-123.13918976627207
1400,W 10TH AVE,49.26298122342149,-123.16007935506033
1400,W 7TH AVE,49.264726471922174,-123.10786395058216
3200,W BROADWAY,49.263649475047416,-123.1389344042681
800,CAMBIE ST,49.2492150960783,-123.11539090524424
2200,PINE ST,49.26931152312224,-123.1431914430584
1700,KITCHENER ST,49.272292886456704,-123.04681104341932
1500,SALSBURY DRIVE,49.27485750593576,-123.06759809731922
1100,W CORDOVA ST,49.28775548425263,-123.1166327266634
1200,W GEORGIA ST,49.287105100000005,-123.12595250696923
700,BUTE ST,49.28018938489427,-123.13578430526341
400,JERVIS ST,49.282457726818144,-123.13547628414761
1200,MELVILLE ST,49.28556667696281,-123.1206797548102
1200,BUTE ST,49.28018938489427,-123.13578430526341
2000,YEW ST,49.25062300600435,-123.1558043313721
1000,BUTE ST,49.28018938489427,-123.13578430526341
1100,BARCLAY ST,49.285540231307856,-123.1305701744151
1400,BUTE ST,49.28018938489427,-123.13578430526341
1500,GRANVILLE ST,49.25901295951559,-123.13874691672915
1200,PENDRELL ST,49.28943044828831,-123.14302415129735
1000,JERVIS ST,49.282457726818144,-123.13547628414761
